position,year,title.href,title,artist,lyrics,decade,song_key
2,1970,https://en.wikipedia.org/wiki/(They_Long_to_Be)_Close_to_You,(They Long to Be) Close to You,The Carpenters,x,1970,1970-2
7,1970,https://en.wikipedia.org/wiki/I%27ll_Be_There_(The_Jackson_5_song),I'll Be There,The Jackson 5,x,1970,1970-7
9,1970,https://en.wikipedia.org/wiki/Let_It_Be_(song),Let It Be,The Beatles,x,1970,1970-9
15,1970,https://en.wikipedia.org/wiki/ABC_(song),ABC,The Jackson 5,x,1970,1970-15
16,1970,https://en.wikipedia.org/wiki/The_Love_You_Save,The Love You Save,The Jackson 5,x,1970,1970-16
18,1970,https://en.wikipedia.org/wiki/Candida_(song),Candida,Dawn,x,1970,1970-18
19,1970,https://en.wikipedia.org/wiki/Thank_You_(Falettinme_Be_Mice_Elf_Agin),Thank You (Falettinme Be Mice Elf Agin),Sly and the Family Stone,x,1970,1970-19
21,1970,https://en.wikipedia.org/wiki/O-o-h_Child,O-o-h Child,Five Stairsteps,x,1970,1970-21
24,1970,https://en.wikipedia.org/wiki/Ball_of_Confusion_(That%27s_What_the_World_Is_Today),Ball of Confusion (That's What the World Is Today),The Temptations,x,1970,1970-24
26,1970,,Which Way You Goin' Billy?,The Poppy Family,x,1970,1970-26
28,1970,https://en.wikipedia.org/wiki/I_Want_You_Back,I Want You Back,The Jackson 5,x,1970,1970-28
32,1970,https://en.wikipedia.org/wiki/Ride_Captain_Ride,Ride Captain Ride,Blues Image,x,1970,1970-32
40,1970,https://en.wikipedia.org/wiki/Love_Grows_(Where_My_Rosemary_Goes),Love Grows (Where My Rosemary Goes),Edison Lighthouse,x,1970,1970-40
45,1970,https://en.wikipedia.org/wiki/The_Rapper,The Rapper,The Jaggerz,x,1970,1970-45
46,1970,"https://en.wikipedia.org/wiki/He_Ain%27t_Heavy,_He%27s_My_Brother","He Ain't Heavy, He's My Brother",The Hollies,x,1970,1970-46
52,1970,https://en.wikipedia.org/wiki/Lola_(song),Lola,The Kinks,x,1970,1970-52
58,1970,https://en.wikipedia.org/wiki/Still_Water_(Love),Still Water (Love),The Four Tops,x,1970,1970-58
60,1970,https://en.wikipedia.org/wiki/The_House_of_the_Rising_Sun,The House of the Rising Sun,Frijid Pink,x,1970,1970-60
65,1970,https://en.wikipedia.org/wiki/We%27ve_Only_Just_Begun,We've Only Just Begun,The Carpenters,x,1970,1970-65
71,1970,https://en.wikipedia.org/wiki/Didn%27t_I_(Blow_Your_Mind_This_Time),Didn't I (Blow Your Mind This Time),The Delfonics,x,1970,1970-71
74,1970,,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,x,1970,1970-74
79,1970,https://en.wikipedia.org/wiki/I_Want_to_Take_You_Higher,I Want to Take You Higher,Ike and Tina Turner,x,1970,1970-79
84,1970,,Somebody's Been Sleeping,100 Proof (Aged in Soul),x,1970,1970-84
85,1970,,Vehicle,The Ides of March,x,1970,1970-85
88,1970,https://en.wikipedia.org/wiki/Up_the_Ladder_to_the_Roof,Up the Ladder to the Roof,The Supremes,x,1970,1970-88
91,1970,https://en.wikipedia.org/wiki/Psychedelic_Shack_(song),Psychedelic Shack,The Temptations,x,1970,1970-91
93,1970,,Are You Ready?,Pacific Gas and Electric,x,1970,1970-93
94,1970,https://en.wikipedia.org/wiki/Woodstock_(song),Woodstock,"Crosby, Stills, Nash and Young",x,1970,1970-94
96,1970,,Look What They've Done to My Song Ma,The New Seekers,x,1970,1970-96
98,1970,https://en.wikipedia.org/wiki/The_Thrill_Is_Gone_(1951_song),The Thrill Is Gone,B.B. King,x,1970,1970-98
4,1971,https://en.wikipedia.org/wiki/One_Bad_Apple,One Bad Apple,The Osmonds,x,1970,1971-4
6,1971,https://en.wikipedia.org/wiki/Indian_Reservation_(The_Lament_of_the_Cherokee_Reservation_Indian),Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere and the Raiders,x,1970,1971-6
9,1971,https://en.wikipedia.org/wiki/Just_My_Imagination_(Running_Away_with_Me),Just My Imagination (Running Away with Me),The Temptations,x,1970,1971-9
14,1971,https://en.wikipedia.org/wiki/Smiling_Faces_Sometimes,Smiling Faces Sometimes,The Undisputed Truth,x,1970,1971-14
18,1971,https://en.wikipedia.org/wiki/Brown_Sugar_(song),Brown Sugar,The Rolling Stones,x,1970,1971-18
22,1971,https://en.wikipedia.org/wiki/Uncle_Albert/Admiral_Halsey,Uncle Albert/Admiral Halsey,Paul,x,1970,1971-22
29,1971,,Temptation Eyes,The Grass Roots,x,1970,1971-29
30,1971,https://en.wikipedia.org/wiki/Superstar_(Delaney_and_Bonnie_song),Superstar,The Carpenters,x,1970,1971-30
35,1971,https://en.wikipedia.org/wiki/For_All_We_Know_(1970_song),For All We Know,The Carpenters,x,1970,1971-35
37,1971,https://en.wikipedia.org/wiki/Rainy_Days_and_Mondays,Rainy Days and Mondays,The Carpenters,x,1970,1971-37
39,1971,"https://en.wikipedia.org/wiki/Gypsys,_Tramps_%26_Thieves","Gypsys, Tramps and Thieves",Cher,x,1970,1971-39
40,1971,https://en.wikipedia.org/wiki/Never_Can_Say_Goodbye,Never Can Say Goodbye,The Jackson 5,x,1970,1971-40
48,1971,https://en.wikipedia.org/wiki/If_You_Really_Love_Me,If You Really Love Me,Stevie Wonder,x,1970,1971-48
51,1971,https://en.wikipedia.org/wiki/Yo-Yo_(Billy_Joe_Royal_song),Yo-Yo,The Osmonds,x,1970,1971-51
55,1971,https://en.wikipedia.org/wiki/Proud_Mary,Proud Mary,Ike and Tina Turner,x,1970,1971-55
57,1971,,Stay Awhile,The Bells,x,1970,1971-57
58,1971,https://en.wikipedia.org/wiki/Sweet_City_Woman,Sweet City Woman,The Stampeders,x,1970,1971-58
64,1971,,She's Not Just Another Woman,8th Day,x,1970,1971-64
67,1971,,Never Ending Song of Love,Delaney and Bonnie,x,1970,1971-67
72,1971,https://en.wikipedia.org/wiki/(Where_Do_I_Begin%3F)_Love_Story,(Where Do I Begin?) Love Story,Andy Williams,x,1970,1971-72
83,1971,,Here Comes That Rainy Day Feeling Again,The Fortunes,x,1970,1971-83
84,1971,https://en.wikipedia.org/wiki/Won%27t_Get_Fooled_Again,Won't Get Fooled Again,The Who,x,1970,1971-84
86,1971,https://en.wikipedia.org/wiki/Mama%27s_Pearl,Mama's Pearl,The Jackson 5,x,1970,1971-86
87,1971,https://en.wikipedia.org/wiki/Timothy_(song),Timothy,The Buoys,x,1970,1971-87
