,artist,count,year
0,Ace of Base,1,1998
1,ABC,1,1985
2,Lou Gramm,1,1987
3,The Pussycat Dolls,1,2005
4,Toto,1,1979
5,Paul Anka,1,1974
6,Jerry Reed,2,1971
7,The Pretenders,1,1987
8,Real McCoy,1,1994
9,Kid Cudi,1,2009
10,Looking Glass,1,1972
11,Colbie Caillat,1,2007
12,The Honey Cone,1,1971
13,The Human League,1,1982
14,Daryl Hall and John Oates,2,1985
15,Black Box,1,1990
16,Anne Murray,2,1974
17,Pitbull,1,2014
18,Ludacris,1,2004
19,8th Day,1,1971
20,Poison,1,1989
21,Eiffel 65,1,2000
22,Brad Paisley,1,2009
23,Tee Set,1,1970
24,Nitty Gritty Dirt Band,1,1971
25,Rod Stewart,2,1993
26,Rex Smith,1,1979
27,UB40,1,1988
28,Bread,1,1977
29,All-4-One,1,1995
30,Steve Winwood,3,1988
31,Ricky Martin,2,1999
32,Carly Simon,1,1977
33,Santana,1,1981
34,Smash Mouth,1,2000
35,David Gates,1,1978
36,"Ray, Goodman and Brown",1,1980
37,Focus,1,1973
38,Luke Bryan,2,2013
39,Captain and Tennille,1,1977
40,Total,1,1999
41,Yvonne Elliman,1,1978
42,Sylvia,1,1973
43,Michael Bolton,2,1992
44,The Four Tops,1,1973
45,Kenny Chesney,1,2001
46,Ghost Town DJ's,1,1996
47,Missy Elliott,1,2003
48,Jay-Z,2,2004
49,Young Jeezy,1,2006
50,fun.,1,2012
51,Seal,1,1994
52,Jodeci,1,1992
53,Irene Cara,1,1983
54,Five for Fighting,1,2004
55,Jennifer Lopez,1,2000
56,The Jeff Healey Band,1,1989
57,Snoop Dogg,1,2003
58,Patti LaBelle,1,1986
59,Gene Chandler,1,1970
60,The-Dream,1,2008
61,Faith Hill,1,2001
62,The Beach Boys,1,1981
63,Toby Keith,1,2003
64,The New Seekers,1,1972
65,Tommy Tutone,1,1982
66,GQ,2,1979
67,Prince,1,1994
68,John Denver,1,1971
69,Rose Royce,2,1977
70,The Beginning of the End,1,1971
71,20 Fingers,1,1995
72,Jagged Edge,2,2000
73,Kanye West,1,2011
74,Bee Gees,2,1976
75,C+C Music Factory,3,1991
76,John Lennon,3,1981
77,ABBA,1,1981
78,Erykah Badu,1,1997
79,Lloyd,1,2004
80,Tim McGraw,1,2001
81,Bad English,1,1989
82,Lou Bega,1,1999
83,Busta Rhymes,1,1996
84,"Crosby, Stills, Nash and Young",1,1970
85,LSG,1,1998
86,Billy Squier,1,1981
87,Drake,2,2009
88,Animotion,1,1985
89,Madonna,3,1986
90,General Public,1,1994
91,112,1,1999
92,Debbie Gibson,1,1989
93,Bananarama,1,1984
94,Debbie Gibson,3,1988
95,John Travolta,2,1978
96,Ringo Starr,2,1974
97,En Vogue,3,1992
98,Ice Cube,1,1994
99,Wreckx-n-Effect,1,1993
100,Tim McGraw,1,1997
101,Johnny Mathis,1,1978
102,Charlie Rich,2,1974
103,Biz Markie,1,1990
104,Bobby Brown,5,1989
105,Uncle Sam,1,1998
106,Lil' Bow Wow,1,2000
107,Natural Selection,1,1991
108,Madonna,1,2006
109,Chicago,1,1976
110,Hanson,1,1998
111,Simple Minds,1,1985
112,Anne Murray,1,1978
113,Matchbox 20,1,1999
114,Isaac Hayes,1,1971
115,Dionne Warwick,1,1979
116,Boys Club,1,1989
117,Rihanna,2,2013
118,Honey Cone,1,1971
119,The O'Jays,2,1974
120,Dexys Midnight Runners,1,1983
121,Ed Sheeran,1,2013
122,Olivia Newton-John,2,1975
123,Damn Yankees,1,1991
124,Peter Gabriel,1,1986
125,Men at Work,3,1983
126,Mariah Carey,1,2013
127,Montell Jordan,1,1998
128,The Babys,1,1979
129,Sheryl Crow,1,2004
130,Thalía,1,2003
131,Kanye West,1,2006
132,Jive Bunny and the Mastermixers,1,1990
133,Taylor Hicks,1,2006
134,The Cars,1,1982
135,The Main Ingredient,1,1972
136,Donna Summer,1,1976
137,10cc,1,1977
138,Toto,2,1983
139,Scorpions,1,1991
140,Air Supply,2,1980
141,Billy Currington,1,2009
142,Daryl Hall and John Oates,1,1988
143,Del Amitri,1,1995
144,Boyz II Men,2,1998
145,D'Angelo,1,1995
146,Timmy Thomas,1,1973
147,The Moody Blues,1,1972
148,Jamie Walters,1,1995
149,Cat Stevens,1,1972
150,Rihanna,2,2006
151,Hurricane Chris,1,2007
152,Karyn White,1,1992
153,Madonna,2,1994
154,David Guetta,2,2011
155,Miranda Lambert,1,2013
156,The 5th Dimension,1,1971
157,Bobby Caldwell,1,1979
158,Red Hot Chili Peppers,1,2000
159,Avicii,2,2014
160,Seduction,1,1990
161,En Vogue,1,1990
162,The System,1,1987
163,Billy Preston,1,1972
164,Ray Stevens,1,1975
165,Ludacris,2,2010
166,Richard Marx,1,1994
167,Blaque,1,1999
168,Celine Dion,1,2002
