count,word
1838,little
1727,good
946,real
770,bad
764,new
678,big
649,true
635,sweet
607,ooh
579,long
578,hot
543,old
507,right
443,better
440,best
437,lonely
426,crazy
417,high
401,free
365,wrong
309,young
301,hard
287,beautiful
276,deep
268,lovin
258,cold
250,low
248,blue
242,sexy
242,ready
240,strong
233,alive
232,dark
225,wild
211,open
200,sad
197,white
196,happy
192,black
188,pretty
183,bright
180,perfect
177,like
177,sure
176,loving
172,rockin
170,red
167,slow
164,broken
162,second
162,easy
159,cool
157,dirty
157,nice
141,fine
140,different
136,wide
135,fuckin
134,single
133,special
131,funny
128,funky
123,higher
122,da
118,tired
115,dead
113,mad
112,blind
111,loud
109,warm
106,clear
106,short
103,make
102,brown
100,wet
99,cruel
98,everyday
97,fresh
97,afraid
93,sick
93,la-la
92,fly
91,beat
90,outside
90,come
88,green
87,late
87,nasty
86,lil
85,fast
83,live
83,favorite
83,great
82,rainy
82,fat
81,lean
81,small
80,break
80,lucky
79,glad
79,ohh
79,simple
79,american
77,oooh
76,fucking
76,feelin
75,strange
74,miss
72,quick
70,okay
69,rich
69,weak
68,left
68,past
67,ol
67,tough
66,safe
66,rough
64,steady
64,clean
63,ridin
62,mean
62,closer
60,tight
60,ooo
60,sweetest
60,shy
59,precious
59,fancy
58,insane
57,love
57,private
56,hungry
55,double
55,head
55,golden
55,soft
54,wont
54,brighter
53,naked
52,wonderful
52,sorry
52,light
51,stronger
51,runaway
51,welcome
50,dem
50,yellow
49,feeling
49,scared
49,drunk
48,quiet
48,dangerous
48,lovely
47,worth
46,yes
46,stupid
46,super
45,bigger
45,naughty
44,natural
44,poor
44,hush
44,west
42,secret
42,greatest
42,complete
42,damn
42,heavy
42,ooooh
41,wee
41,east
41,cute
41,human
40,proud
40,endless
40,mic
40,fair
40,hopeless
40,straight
39,tall
39,gentle
38,freaky
38,silly
38,busy
37,dry
37,lost
36,worst
36,oo
36,southern
36,foreign
36,fake
35,wait
35,older
34,ooh-ooh
34,foolish
34,dear
34,evil
33,early
33,amazing
33,li'l
33,close
33,gray
33,jealous
32,final
32,oo-chie
32,hotter
32,pure
31,separate
31,breaking
31,guilty
31,rude
31,younger
31,living
30,romantic
30,worry
30,smooth
30,undercover
29,oh-oh
29,baddest
29,deeper
29,raw
29,hurt
29,fading
29,main
29,minute
29,careful
29,hottest
28,sunny
28,ohoho
28,dumb
28,soulja
28,grand
28,like.wo
28,mighty
28,lyrical
28,everlasting
28,emotional
27,extra
27,cherry
27,darkest
27,plus
27,oh-oh-oh
27,answer
27,sweeter
26,smart
26,freeze
26,homey
26,physical
26,fit
25,faithful
25,mma
25,skinny
25,movin
25,ordinary
25,tan
25,distant
25,modern
25,key
25,shady
24,misty
24,lonesome
24,lotta
24,middle
24,vain
24,flat
24,invisible
24,pink
24,biggest
24,die
24,longest
23,sleeping
23,twisted
23,lame
23,tipsy
23,vida
23,burning
23,joint
22,finest
22,cosa
22,typical
22,teenage
22,nappy
22,treble
22,harder
22,ride
22,longer
21,mediocre
21,inner
21,ashamed
21,music
21,loaded
21,heavenly
21,shiny
21,hooked
21,common
21,cheap
21,magical
21,iced
20,tootsie
20,chirpy
20,bitter
20,wicked
20,gangsta
20,dancin
20,la
20,ooga-chaka
20,confused
20,hardest
