1970,1980,1990,2000,2010,word
0,0,0,2,0,exclusive
0,0,0,0,0,brumous
0,0,0,0,0,diffident
0,2,2,0,0,particular
0,0,2,2,0,grateful
0,0,2,0,0,religious
0,0,0,0,2,fifth
0,0,0,0,0,disgusting
0,0,0,0,0,besotted
0,2,0,0,0,permanent
0,2,0,0,0,bigger
0,0,0,0,0,bang-up
0,0,0,0,0,bigheaded
0,0,0,0,0,cutting
0,0,0,0,0,frigid
0,0,0,0,0,awful
0,0,3,4,0,crisp
0,0,0,0,0,grim
0,0,0,0,0,bushy
0,0,2,0,0,entire
2,0,0,0,0,colored
0,0,0,0,0,farthermost
0,0,2,2,2,large
0,0,0,0,0,bally
2,2,3,2,2,small
0,0,0,0,0,ignored
0,0,0,0,0,colossal
0,0,0,0,0,eighteenth
0,0,0,0,0,extremist
4,0,2,2,2,bare
2,0,0,0,0,ablaze
0,0,0,0,0,aroused
2,0,0,2,0,casual
2,0,0,0,0,blue
0,0,0,0,0,bantam
0,0,0,0,0,ill-famed
0,0,0,0,0,instantaneous
0,0,0,0,0,bogus
2,4,3,4,3,red
0,0,0,0,0,hairy
0,0,0,3,0,ferocious
0,0,0,0,0,sixth
0,0,0,0,0,seventh
0,0,0,3,0,icky
0,0,0,2,2,conceited
0,2,0,2,0,alone
0,0,0,0,0,blasted
0,0,0,2,0,extreme
0,0,0,0,0,enormous
0,0,0,0,0,all_right
0,0,0,2,0,talented
0,0,0,0,0,ace
0,0,2,2,0,ill
0,2,0,0,0,bronzed
2,2,2,0,0,favorite
0,2,0,0,0,slender
0,2,0,0,0,honest
0,0,0,2,0,chopped
2,2,3,2,2,bitty
0,0,0,0,0,fantastic
0,0,0,0,0,boggy
0,0,2,0,0,chunky
0,0,0,0,0,jammed
0,0,0,2,0,chubby
0,0,0,0,0,nauseating
0,0,0,0,0,brassy
0,0,0,0,0,adolescent
0,0,0,2,0,calm
0,0,0,0,0,immaculate
0,0,0,0,0,coarse
0,2,0,0,0,firm
0,0,0,0,0,barbarous
0,0,0,0,0,gay
0,0,0,0,0,aureate
0,0,0,0,0,baronial
0,0,2,2,0,apparent
4,2,3,0,0,ageless
0,0,0,0,0,charming
0,0,0,0,0,cryptic
0,0,0,0,0,bum
0,0,0,0,2,cunning
0,3,2,2,2,wide
0,0,0,0,0,nightlong
3,2,2,2,2,grey
0,0,0,2,0,deserving
0,0,0,0,0,fried
0,0,0,0,0,enamored
0,0,0,0,0,coincident
0,0,0,0,0,far-out
0,0,2,0,0,dizzy
0,0,2,0,0,incredible
0,0,2,2,0,blond
0,2,0,0,0,curious
0,0,0,0,0,null
0,0,0,3,0,everyday
0,0,0,0,0,huge
0,0,0,0,0,aged
0,0,0,2,0,devilish
0,0,0,0,0,laden
0,0,0,2,0,ephemeral
0,0,0,2,0,amazing
0,0,0,0,0,cardinal
0,0,0,0,0,amusing
0,0,0,2,0,difficult
0,0,0,0,0,fine-looking
0,2,3,0,2,cheery
0,0,2,0,0,hurt
0,0,0,0,0,eighth
0,0,0,0,0,cockamamie
0,0,0,0,0,untrimmed
2,2,2,2,2,average
0,0,2,0,0,humble
0,0,0,0,0,edgy
0,0,0,0,0,greek
0,0,2,0,0,chief
0,0,0,0,0,crazed
0,0,0,2,0,classy
0,0,0,0,0,deluxe
