1970,1980,1990,2000,2010,word
0,0,0,1,1,limited
0,0,0,0,1,our-our-our-ou-ou-ours
0,0,1,1,0,suicidal
0,0,0,1,0,ri-dic-dic-dic-ulous
0,0,1,2,0,dynamic
0,0,0,1,0,suspenseful
0,0,1,1,0,sleek
0,0,0,0,1,asian
0,0,1,0,0,hanging
0,0,0,1,0,attentive
1,0,0,1,0,oldest
0,0,1,0,0,saved
0,0,2,1,0,undisputed
0,0,0,1,0,otro
0,0,0,2,0,feeding
0,0,1,0,0,allll
0,0,0,2,0,eligible
0,0,1,0,0,dazy
0,0,0,2,0,oooohoooohhhoh
4,8,6,6,3,sweetest
0,0,1,0,1,otra
0,0,0,1,0,tickle
0,0,0,0,1,cuckier
0,1,0,1,0,thinnest
1,0,0,0,0,fuente
0,0,0,1,0,regal
7,1,9,11,6,sorry
1,0,1,3,0,gracious
2,2,10,8,5,worth
1,1,1,2,0,reachin
1,0,0,0,0,slow-moving
0,0,0,0,1,swivel
0,0,0,0,1,button-down
0,0,0,1,0,muthafuckin
0,0,0,1,0,"1,2"
0,0,1,0,0,void
0,0,0,0,1,a.41
2,0,2,0,1,gritty
1,0,3,3,1,foul
0,0,0,0,1,dely
0,0,0,1,0,utmost
0,0,1,0,0,low-key
0,0,1,0,0,vast
0,0,2,0,0,wooded
0,0,1,0,0,buttonhole
1,0,1,0,0,contigo
0,0,0,1,1,servin
0,0,0,0,1,forgettin
0,0,1,2,0,oooo
3,3,0,3,3,frozen
0,1,1,0,0,flashy
8,4,3,12,7,oooh
0,1,0,0,0,twenty-second
3,4,3,5,1,undercover
0,0,0,0,1,chew
0,0,1,0,0,phoney
0,0,0,0,1,force
0,0,0,0,1,dookie
0,0,0,1,0,chauffer
9,22,16,18,8,tired
0,3,5,4,3,fit
0,1,0,0,0,japanese
1,0,0,1,0,ooohooo
0,0,0,0,1,disciplined
6,34,14,24,15,second
0,0,2,4,4,louder
0,0,0,1,0,helluva
0,1,0,0,0,you.all
0,0,1,0,0,7th
30,33,31,26,16,blue
0,1,4,1,0,strangest
0,0,0,0,1,ohhhoh
0,0,0,1,0,ruthless
0,0,2,1,1,hate
0,0,0,1,0,cooking
0,0,2,1,1,hazy
0,0,0,1,0,night)(yeah
0,0,0,1,0,lights
0,0,1,0,0,droppin
0,0,1,0,1,fossil
0,0,1,0,0,resilient
61,66,75,120,44,new
0,0,1,0,0,funkafied
7,8,6,6,0,rainy
0,0,0,0,1,mamas
0,0,1,0,0,woozy
0,0,1,0,1,deadbeat
0,1,0,0,0,tommys
0,0,0,0,1,disposable
0,0,0,1,0,residual
1,0,0,0,0,snowbird
1,0,0,0,0,met
0,0,1,1,0,smokin
0,0,0,2,0,active
0,0,1,0,0,short-term
6,3,7,4,5,dry
1,0,0,0,0,macrobiotic
0,0,1,0,0,uplifting
0,0,1,0,0,three-piece
0,2,0,0,0,smoky
0,0,0,2,0,changed
0,0,0,1,0,dru
0,0,1,0,0,hokey
2,0,0,0,0,superstitious
6,2,2,1,0,lonesome
0,0,1,0,0,military
0,0,1,2,1,dre
0,0,1,0,0,mantic
8,5,9,5,5,golden
0,0,7,0,1,fantastic
0,0,0,1,0,heeled
0,0,1,1,0,secure
0,2,0,0,0,stray
0,1,0,0,0,psychological
1,0,3,1,0,moral
0,0,1,0,0,unanswered
0,0,0,1,0,stern
1,0,0,0,0,hablar
2,0,5,1,0,total
0,0,0,1,0,plow
1,1,2,1,0,scarred
0,0,1,0,0,catchy
2,0,0,3,1,negative
1,0,0,0,0,8-ball
1,0,0,0,0,unrehearsed
3,3,3,1,0,music
2,2,3,4,0,calm
1,0,0,0,0,twirled
0,0,0,0,1,decomposable
0,1,0,0,0,separated
0,0,0,1,0,bleached-blonde
0,0,0,1,0,limber
0,1,6,1,3,holy
0,0,0,1,0,relax
0,0,0,2,0,successful
0,2,0,2,0,naive
1,0,0,0,0,whirling
0,1,0,2,1,phony
2,3,3,1,0,aware
20,15,19,12,4,warm
0,1,0,0,0,adult
0,0,1,0,0,cuttin
0,1,0,0,0,primeval
0,0,0,0,1,hold
0,0,0,0,1,95
0,0,1,1,0,shoot
0,0,1,0,0,sub-woofer
0,0,1,0,0,good-time
0,0,0,1,0,damn.my
0,2,0,0,0,locked
0,0,0,0,1,mc
0,1,0,0,0,hot-shot
1,0,0,3,0,mi
1,0,0,0,0,big-bosomed
0,0,1,0,0,whack
0,1,0,0,0,suggestive
0,1,0,0,0,mv
0,0,0,1,0,grimey
4,1,4,4,3,sweeter
0,0,0,0,1,tethered
1,0,1,0,0,love\n
0,0,0,1,0,addictive
0,0,1,0,0,brewin
0,0,0,1,0,vodka
0,0,0,2,5,fresher
0,0,0,0,1,indie
0,0,1,0,0,laughs
0,1,0,1,0,heartless
1,0,0,0,0,oriol
0,0,0,1,0,bonafide
3,0,1,0,0,want
0,0,1,0,0,amour
1,0,0,0,0,pompatous
0,0,0,1,0,m-a
0,0,0,0,1,dyke
0,0,0,0,1,vert
1,0,0,0,0,hog
1,0,0,0,0,keen
0,1,1,0,0,hoo
0,0,0,0,1,puzzled
0,0,0,1,1,in-style
22,31,46,83,32,hot
0,1,0,0,0,ooh-ee
0,1,0,0,0,foulest
6,1,2,2,1,answer
1,0,0,0,0,frameless
2,3,3,2,0,ordinary
0,1,0,0,0,footloose
0,1,0,0,0,truthful
0,0,0,1,0,a-a-at
0,0,0,1,1,massive
0,0,0,1,0,ovr
0,0,2,0,1,over-sized
0,1,0,0,0,becky
0,0,1,0,0,pokey
1,0,2,1,1,insecure
1,0,0,2,0,earlier
0,0,0,1,0,sippy
1,1,3,3,1,vicious
0,0,1,0,0,aiyyo
34,33,58,60,31,wrong
0,0,3,0,0,mesh
0,0,1,0,0,lax
0,1,1,0,0,lay
0,0,1,0,0,misfit
1,0,1,0,0,unselfish
0,0,0,0,1,lesbian
0,0,0,1,0,plies
0,0,0,1,1,superbad
0,0,1,0,0,elusive
1,0,1,0,0,splendid
0,0,1,0,0,hasty
0,0,0,3,1,hypnotic
0,0,0,0,1,sickening
0,1,0,0,0,eye-to-eye
0,0,1,0,0,maintain
7,4,11,18,10,green
0,1,2,2,0,ultimate
0,1,0,0,0,einmal
0,0,0,1,0,democratic
0,0,1,0,0,dondatta
0,0,2,0,0,exotic
1,0,2,0,0,belong
0,0,1,0,0,fam
2,0,5,1,2,satisfied
0,1,0,2,0,diddy
0,0,1,0,0,ghastly
0,0,2,0,0,dapper
0,0,1,0,1,hip-hop
3,1,0,0,0,doggone
0,0,1,0,0,indispensible
1,0,0,0,0,deathly
0,0,0,1,0,double-up
0,1,0,0,0,frisky
0,1,5,3,0,personal
0,0,0,2,0,fix
44,35,56,73,25,better
1,2,0,1,0,tramp
0,0,0,2,0,missionary
0,0,1,0,0,creo
2,0,1,1,0,hidden
3,3,3,1,0,easier
0,0,0,5,0,bouncin
0,0,1,1,0,foolin
1,0,0,0,0,biding
6,7,14,13,7,safe
3,4,9,11,5,break
1,0,0,0,0,free-ee-ee
0,0,0,1,0,indecent
0,0,0,0,1,man-made
1,0,1,0,0,mucho
0,0,0,2,0,rental
0,0,0,1,2,shawty
0,0,1,0,0,courtside
0,0,0,1,0,bony
1,2,0,0,0,rocky
1,0,0,0,0,long-hair
1,4,4,1,2,sleepless
0,0,1,0,0,betcha
1,0,0,0,0,wooden
0,0,0,1,1,spotless
0,0,0,0,1,next-level
0,1,0,0,0,hard-won
0,1,0,0,0,road'a
4,4,6,17,7,mean
0,0,1,0,0,boombastic
0,0,1,0,0,financial
1,0,0,0,0,a.32
2,2,1,2,1,innocent
1,0,0,1,0,rainin
0,0,1,0,0,sled
0,0,0,1,0,nigerian
3,1,0,1,0,used
0,0,0,1,0,chubby
0,0,0,1,0,oooh-oh-no
0,1,0,0,0,teatime
0,0,0,6,0,gon
0,0,0,1,0,beat-down
1,1,0,1,0,driving
1,0,0,0,0,haired
0,0,0,2,0,psychic
0,1,0,1,0,crucial
0,0,0,2,0,cheesy
0,1,0,0,1,content
0,0,0,2,0,laid
0,0,2,0,1,facin
0,0,1,0,0,tit-tie
0,0,1,0,0,sheisty
0,0,0,2,0,revolving
0,0,0,1,0,opem
0,0,1,0,0,waaaaas
0,0,1,0,0,wanna-be
1,0,0,0,0,thirteen-month-old
0,0,1,0,0,cheatin
0,0,1,0,0,assured
0,1,0,0,0,lawless
41,43,48,40,14,free
1,0,0,0,0,fred
0,0,1,0,0,nth
0,0,1,0,0,moon-spattered
0,0,0,1,0,icky
0,0,0,0,1,mothafuck
0,0,1,0,0,l'amour
0,0,1,1,0,westside
0,0,1,2,1,certified
0,1,0,4,1,greasy
