1970,1980,1990,2000,2010,word
0,0,0,1,1,limited
0,0,1,1,0,dynamic
1,1,1,1,1,yellow
0,0,1,1,0,sleek
1,1,1,1,1,huffy
0,0,0,0,1,asian
0,0,1,2,0,ill-famed
0,0,1,1,0,undisputed
0,0,0,1,0,eligible
0,0,1,0,0,unanswered
0,0,0,0,1,rightist
1,1,1,1,1,fly-by-night
1,0,0,0,0,slow-moving
0,0,0,0,1,button-down
0,0,1,0,0,low-key
0,0,0,1,0,missionary
0,0,1,1,1,gluey
0,0,1,0,0,wooded
0,1,0,0,0,clothed
1,1,0,1,1,frozen
0,1,0,0,0,rose-colored
0,1,1,1,0,despairing
0,1,0,0,0,twenty-second
0,1,0,0,0,deplorable
1,1,1,1,1,tired
0,1,1,1,1,bubbling
0,0,1,1,0,direct
0,0,0,0,1,disciplined
0,0,0,1,1,rusty
0,1,0,1,0,fabulous
0,0,1,0,1,rigorous
2,2,2,3,2,blue
0,1,0,1,0,gawky
1,0,1,0,1,desirous
0,0,1,0,0,saved
0,0,1,0,1,fossil
0,0,1,0,0,resilient
1,1,1,1,1,new
0,0,0,0,1,disposable
0,0,0,1,0,residual
1,0,1,2,0,active
0,0,0,1,0,affiliated
1,1,2,2,2,dry
1,0,0,0,0,macrobiotic
0,0,1,0,0,three-piece
0,1,0,0,0,smoky
0,0,0,1,0,changed
1,0,0,0,0,superstitious
0,0,1,0,0,military
1,1,1,2,1,fantastic
0,0,1,1,0,secure
0,1,0,0,0,psychological
1,0,1,1,0,moral
0,0,1,0,0,catchy
1,0,0,1,1,negative
1,1,1,2,0,calm
3,2,3,3,3,barbarous
0,1,1,1,1,holy
0,0,0,1,0,successful
0,1,0,1,0,naive
1,1,1,1,0,aware
1,1,1,1,1,warm
0,1,0,0,0,adult
0,0,1,0,0,cured
1,0,0,1,1,fictile
1,1,1,1,0,laid-back
0,0,0,1,0,addictive
0,0,0,0,1,indie
1,0,0,1,0,fanciful
1,0,1,1,0,indifferent
0,0,1,0,1,unforgettable
1,1,1,0,1,fuzzed
1,1,1,1,1,intoxicated
0,1,1,2,1,amazing
0,0,1,0,0,aching
0,0,0,1,0,toxic
1,1,1,1,0,ordinary
0,1,0,0,0,footloose
0,1,0,0,0,truthful
1,0,1,1,1,insecure
1,0,0,1,0,earlier
0,0,1,0,0,lax
1,0,0,0,0,airless
1,0,1,0,0,unselfish
0,0,0,0,1,lesbian
1,0,1,1,0,foolhardy
0,0,0,1,0,austere
0,0,1,0,0,third
0,0,1,0,0,hasty
0,0,0,1,1,hypnotic
1,0,1,0,0,greek
1,1,1,1,1,green
0,1,1,1,0,ultimate
0,0,0,1,0,democratic
0,1,0,1,0,hardhearted
1,0,1,1,1,satisfied
0,0,1,0,0,ghastly
0,0,1,0,0,subterranean
0,1,1,2,1,fit
0,1,1,1,0,personal
0,0,0,2,0,besotted
1,1,1,1,1,better
1,0,0,0,0,downy
1,1,1,1,1,safe
0,0,0,0,1,man-made
0,0,0,1,0,rental
0,0,0,1,0,bony
1,1,0,0,0,rocky
1,0,0,0,0,wooden
0,0,0,1,0,nigerian
1,1,0,1,0,impossible
0,0,1,0,0,acerb
1,1,0,1,0,driving
0,0,0,1,0,psychic
0,1,0,1,0,crucial
0,0,0,1,0,forty
0,0,0,1,0,laid
0,1,1,0,0,laic
0,0,1,0,0,assured
1,1,1,1,1,free
0,0,1,0,0,nth
0,1,0,0,0,aboriginal
1,0,1,3,0,icky
0,0,1,0,0,deceptive
0,0,1,1,0,westside
0,0,1,1,1,certified
0,1,0,1,1,greasy
1,0,1,1,0,enormous
1,0,0,1,1,unexpressed
0,1,0,0,0,tyrolean
0,0,0,0,1,cosmic
0,0,0,1,1,flawless
0,1,0,0,0,disturbed
1,1,1,1,0,satiny
0,1,1,1,1,hopeless
1,1,1,1,1,loud
1,0,0,2,0,chopped
0,0,0,1,0,angelic
1,0,1,0,0,lovable
0,0,0,1,0,bionic
0,0,0,1,1,sober
1,0,0,0,0,big-bellied
0,0,0,1,0,electronic
1,0,0,0,0,immovable
1,0,0,0,0,dumbfounded
0,0,1,0,1,colossal
0,0,0,1,1,ballistic
0,0,0,1,0,airy
0,0,0,1,0,effusive
0,0,1,0,0,damaging
0,0,0,1,0,urban
0,0,1,1,0,illiterate
0,0,1,0,0,unheard
0,1,0,0,0,japanese
1,1,0,0,0,western
1,0,0,0,0,self-contained
0,0,1,0,0,elegant
0,0,0,1,1,likely
0,1,0,0,0,unmistakable
0,0,1,0,0,idle
0,1,1,0,0,childlike
