count,word
707,little
694,good
454,real
366,new
339,big
339,true
319,old
307,long
286,bad
262,sweet
251,high
250,right
237,ooh
233,better
228,best
226,crazy
216,wrong
214,hot
206,lonely
199,hard
186,free
184,young
168,deep
167,cold
159,strong
140,sure
136,low
136,blue
135,black
135,ready
133,dark
121,lovin
119,wild
114,nice
112,white
110,pretty
109,happy
109,like
108,open
107,alive
106,different
103,loving
100,red
99,beautiful
97,perfect
94,sad
94,easy
93,second
93,funny
89,dead
87,single
85,broken
83,special
82,cool
80,sexy
80,fine
79,bright
79,mad
76,dirty
75,blind
73,loud
73,tired
73,clear
70,warm
69,slow
67,rockin
66,great
66,sick
62,fuckin
62,afraid
61,wet
60,favorite
59,late
59,everyday
58,fast
58,past
57,quick
56,fresh
56,wide
56,simple
55,outside
53,lil
52,glad
51,live
51,strange
50,green
50,beat
49,short
49,soft
48,fly
48,make
48,small
47,closer
47,tough
47,safe
47,rich
46,fat
46,brown
46,okay
46,rough
45,come
45,feelin
44,tight
43,higher
42,clean
42,scared
42,funky
42,weak
42,precious
38,mean
37,yellow
36,ohh
36,drunk
36,fucking
35,cute
35,da
34,sorry
34,ol
34,heavy
34,straight
34,oooh
33,damn
33,quiet
33,left
33,steady
33,light
32,naked
32,golden
32,tall
32,break
32,fair
32,stronger
32,fancy
31,poor
31,double
31,proud
31,miss
31,busy
31,head
30,private
30,pure
29,lucky
29,close
29,hungry
29,bigger
29,older
28,jealous
28,gentle
28,lovely
28,nasty
27,worth
27,sweetest
27,endless
27,mic
27,rainy
27,feeling
27,insane
27,stupid
26,secret
26,worst
25,younger
25,silly
25,hottest
25,shy
25,dry
25,dem
25,final
24,dear
24,wonderful
24,lost
24,human
24,wont
24,foolish
24,plus
24,hotter
23,gray
23,deeper
23,hurt
23,freaky
22,super
22,key
22,complete
22,east
22,extra
22,dumb
22,finest
21,brighter
21,main
21,smart
21,love
21,living
21,guilty
21,raw
20,harder
20,natural
20,welcome
20,foreign
20,flat
19,separate
19,cheap
19,southern
19,tan
19,grand
18,vain
18,flow
18,twisted
18,lame
18,wait
18,fake
18,sunny
17,lean
17,common
17,darkest
17,nervous
17,cruel
17,broad
17,middle
17,certain
17,grey
17,silent
17,distant
17,early
17,movin
17,skinny
17,ooo
17,major
17,ashamed
16,shiny
16,confused
16,wicked
16,sweeter
16,purple
16,baddest
16,undercover
16,fairy
16,ridin
16,american
16,naughty
16,homey
16,sleeping
15,stormy
15,amazing
15,pink
15,longer
15,local
15,joint
15,fading
15,bitter
15,fit
15,famous
14,divine
14,restless
14,loose
14,colder
14,lyrical
14,cherry
14,able
14,dangerous
14,emotional
14,french
14,greatest
14,biggest
13,yes
13,willing
13,hooked
13,shady
13,ooooh
13,misty
13,magical
13,careful
13,rude
13,smooth
13,ow
13,magic
13,original
12,answer
12,helpless
12,unkind
12,sleepless
12,frozen
12,shot
12,familiar
12,proper
12,closed
12,honest
12,electric
12,wee
12,large
12,worse
12,inner
12,wise
12,greener
12,mellow
11,longest
11,calm
11,indian
11,corner
11,plain
11,everlasting
11,heavenly
11,similar
11,physical
11,sharp
11,cloud
11,bubble
11,sudden
11,typical
11,holy
11,mma
11,icy
11,niggaz
11,romantic
11,sticky
11,bare
11,average
11,passing
11,laughin
11,lonesome
10,peaceful
10,easier
10,ugly
10,dancin
10,minute
10,west
10,shattered
10,lazy
10,faded
10,scary
10,rare
10,wasting
10,packed
10,angry
10,music
10,satisfied
10,independent
10,virgin
10,drivin
10,louder
10,ordinary
10,obvious
10,finer
9,sacred
9,bent
9,faithful
9,blonde
9,hush
9,desperate
9,comfortable
9,cooler
9,vicious
9,clearer
9,evil
9,let
9,ohhh
9,bitty
9,dim
9,ride
9,aware
9,friendly
9,solid
9,hardest
9,non-stop
9,oh-oh
9,damned
9,animal
9,lead
9,fighting
9,weary
9,humble
9,body
9,hollow
9,sober
9,personal
9,tragic
9,breathless
9,finish
9,highest
9,sexual
9,handsome
9,watchin
9,feel
8,jamaican
8,prettiest
8,fantastic
8,bold
8,promised
8,innocent
8,burnin
8,la
8,touchin
8,missing
8,terrible
8,working
8,regular
8,total
8,dusty
8,foul
8,la-la
8,weird
8,dizzy
8,thirsty
8,fucked
8,stop
8,oo
8,triple
8,deepest
8,important
8,worry
8,bound
8,hopin
8,tiny
8,pale
8,moonlit
8,nappy
8,tipsy
7,fi
7,reckless
7,deadly
7,spare
7,classic
7,timeless
7,said
7,breathin
7,searchin
7,verse
7,silky
7,healthy
7,sour
7,bubbly
7,ohohoho
7,listenin
7,gangsta
7,fresher
7,positive
7,latest
7,teenage
7,unspoken
7,ohoho
7,filled
7,hopeless
7,flip
7,daytime
7,chinese
7,people
7,breezy
7,mixed
7,inside
7,troubled
7,awful
7,treble
7,criminal
7,slim
7,flyin
7,oh-oh-oh
7,greedy
7,finger
7,breaking
7,sound
7,wishin
7,mind
7,crowded
7,cutest
6,fatter
6,false
6,sweaty
6,legit
6,curious
6,wildest
6,unhappy
6,selfish
6,hear
6,frightening
6,counter
6,mental
6,nuthin
6,actin
6,floss
6,greasy
6,bittersweet
6,constant
6,couple
6,clever
6,surprised
6,homeless
6,plenty
6,tanned
6,die
6,ill
6,one-way
6,acting
6,got
6,iced
6,li'l
6,mere
6,chronic
6,tense
6,patient
6,nitty
6,negative
6,slick
6,loaded
6,modern
