count,word,rcount
1838,little,707
1727,good,694
946,real,454
770,bad,366
764,new,339
678,big,339
649,true,319
635,sweet,307
607,ooh,286
579,long,262
578,hot,251
543,old,250
507,right,237
443,better,233
440,best,228
437,lonely,226
426,crazy,216
417,high,214
401,free,206
365,wrong,199
309,young,186
301,hard,184
287,beautiful,168
276,deep,167
268,lovin,159
258,cold,140
250,low,136
248,blue,136
242,sexy,135
242,ready,135
240,strong,133
233,alive,121
232,dark,119
225,wild,114
211,open,112
200,sad,110
197,white,109
196,happy,109
192,black,108
188,pretty,107
183,bright,106
180,perfect,103
177,like,100
177,sure,99
176,loving,97
172,rockin,94
170,red,94
167,slow,93
164,broken,93
162,second,89
162,easy,87
159,cool,85
157,dirty,83
157,nice,82
141,fine,80
140,different,80
136,wide,79
135,fuckin,79
134,single,76
133,special,75
131,funny,73
128,funky,73
123,higher,73
122,da,70
118,tired,69
115,dead,67
113,mad,66
112,blind,66
111,loud,62
109,warm,62
106,clear,61
106,short,60
103,make,59
102,brown,59
100,wet,58
99,cruel,58
98,everyday,57
97,fresh,56
97,afraid,56
93,sick,56
93,la-la,55
92,fly,53
91,beat,52
90,outside,51
90,come,51
88,green,50
87,late,50
87,nasty,49
86,lil,49
85,fast,48
83,live,48
83,favorite,48
83,great,47
82,rainy,47
82,fat,47
81,lean,47
81,small,46
80,break,46
80,lucky,46
79,glad,46
79,ohh,45
79,simple,45
79,american,44
77,oooh,43
76,fucking,42
76,feelin,42
75,strange,42
74,miss,42
72,quick,42
70,okay,38
69,rich,37
69,weak,36
68,left,36
68,past,36
67,ol,35
67,tough,35
66,safe,34
66,rough,34
64,steady,34
64,clean,34
63,ridin,34
62,mean,33
62,closer,33
60,tight,33
60,ooo,33
60,sweetest,33
60,shy,32
59,precious,32
59,fancy,32
58,insane,32
57,love,32
57,private,32
56,hungry,32
55,double,31
55,head,31
55,golden,31
55,soft,31
54,wont,31
54,brighter,31
53,naked,30
52,wonderful,30
52,sorry,29
52,light,29
51,stronger,29
51,runaway,29
51,welcome,29
50,dem,28
50,yellow,28
49,feeling,28
49,scared,28
49,drunk,27
48,quiet,27
48,dangerous,27
48,lovely,27
47,worth,27
46,yes,27
46,stupid,27
46,super,27
45,bigger,26
45,naughty,26
44,natural,25
44,poor,25
44,hush,25
44,west,25
42,secret,25
42,greatest,25
42,complete,25
42,damn,24
42,heavy,24
42,ooooh,24
41,wee,24
41,east,24
41,cute,24
41,human,24
40,proud,24
40,endless,23
40,mic,23
40,fair,23
40,hopeless,23
40,straight,22
39,tall,22
39,gentle,22
38,freaky,22
38,silly,22
38,busy,22
37,dry,22
37,lost,21
36,worst,21
36,oo,21
36,southern,21
36,foreign,21
36,fake,21
35,wait,21
35,older,20
34,ooh-ooh,20
34,foolish,20
34,dear,20
34,evil,20
33,early,19
33,amazing,19
33,li'l,19
33,close,19
33,gray,19
33,jealous,18
32,final,18
32,oo-chie,18
32,hotter,18
32,pure,18
31,separate,18
31,breaking,18
31,guilty,17
31,rude,17
31,younger,17
31,living,17
30,romantic,17
30,worry,17
30,smooth,17
30,undercover,17
29,oh-oh,17
29,baddest,17
29,deeper,17
29,raw,17
29,hurt,17
29,fading,17
29,main,17
29,minute,17
29,careful,17
29,hottest,16
28,sunny,16
28,ohoho,16
28,dumb,16
28,soulja,16
28,grand,16
28,like.wo,16
28,mighty,16
28,lyrical,16
28,everlasting,16
28,emotional,16
27,extra,16
27,cherry,16
27,darkest,15
27,plus,15
27,oh-oh-oh,15
27,answer,15
27,sweeter,15
26,smart,15
26,freeze,15
26,homey,15
26,physical,15
26,fit,15
25,faithful,14
25,mma,14
25,skinny,14
25,movin,14
25,ordinary,14
25,tan,14
25,distant,14
25,modern,14
25,key,14
25,shady,14
24,misty,14
24,lonesome,14
24,lotta,13
24,middle,13
24,vain,13
24,flat,13
24,invisible,13
24,pink,13
24,biggest,13
24,die,13
24,longest,13
23,sleeping,13
23,twisted,13
23,lame,13
23,tipsy,13
23,vida,12
23,burning,12
23,joint,12
22,finest,12
22,cosa,12
22,typical,12
22,teenage,12
22,nappy,12
22,treble,12
22,harder,12
22,ride,12
22,longer,12
21,mediocre,12
21,inner,12
21,ashamed,12
21,music,12
21,loaded,12
21,heavenly,12
21,shiny,11
21,hooked,11
21,common,11
21,cheap,11
21,magical,11
21,iced,11
20,tootsie,11
20,chirpy,11
20,bitter,11
20,wicked,11
20,gangsta,11
20,dancin,11
20,la,11
20,ooga-chaka,11
20,confused,11
20,hardest,11
20,large,11
20,nervous,11
20,silent,11
20,non-stop,11
20,major,11
20,ole,11
20,grey,11
20,purple,11
19,flow,11
19,shattered,10
19,plain,10
19,sharp,10
19,certain,10
19,solid,10
19,glamorous,10
19,lazy,10
19,broad,10
19,stormy,10
19,wildest,10
19,wasting,10
19,colder,10
19,cum,10
19,fantastic,10
19,let,10
19,independent,10
19,ow,10
19,louder,10
18,butta,10
18,neva,10
18,divine,10
18,di,10
18,local,10
18,innocent,9
18,bare,9
18,worse,9
18,taller,9
18,niggaz,9
18,country,9
