5-decade,count
cute,35
magical,13
cheap,19
yellow,37
bright,79
human,24
smart,21
love,21
rough,46
darkest,17
fine,80
perfect,97
busy,31
favorite,60
stormy,15
cherry,14
dancin,10
sweetest,27
young,184
better,233
simple,56
willing,13
black,135
inner,12
easy,94
wet,61
ohhh,9
sorry,34
main,21
local,15
worth,27
surprised,6
finer,10
real,454
brown,46
lonely,206
sacred,9
beat,50
big,339
safe,47
sunny,18
lucky,29
fat,46
feelin,45
break,32
famous,15
worst,26
fancy,32
nasty,28
bigger,29
cool,82
wont,24
gray,23
like,109
lost,24
shy,25
sleepless,12
naked,32
bad,286
common,17
oooh,34
quick,57
rich,47
soft,49
undercover,16
mean,38
heavy,34
right,250
old,319
restless,14
fair,32
tired,73
colder,14
scared,42
innocent,8
stronger,32
dead,89
past,58
second,93
dumb,22
complete,22
greener,12
dear,24
small,48
divine,14
cold,167
special,83
blue,136
living,21
movin,17
lead,9
purple,16
open,108
closer,47
daytime,7
outside,55
closed,12
new,366
freaky,23
red,100
dirty,76
loose,14
weak,42
free,186
clearer,9
broken,85
slow,69
french,14
key,22
nice,114
laughin,11
precious,42
strong,159
super,22
dry,25
great,66
ol,34
rare,10
wee,12
guilty,21
quiet,33
honest,12
funky,42
west,10
loud,73
blind,75
golden,32
tough,47
extra,22
feel,9
sweet,262
endless,27
private,30
hollow,9
clear,73
fast,58
sexy,80
miss,31
late,59
little,707
foolish,24
brighter,21
come,45
secret,26
tiny,8
virgin,10
live,51
wonderful,24
damn,33
low,136
familiar,12
certain,17
rockin,67
white,112
lovely,28
bitter,15
final,25
happy,109
oo,8
hard,199
deeper,23
ooo,17
ooh,237
hurt,23
loving,103
biggest,14
long,307
warm,70
corner,11
alive,107
ashamed,17
sick,66
insane,27
vain,18
sleeping,16
true,339
glad,52
fly,48
wide,56
shady,13
east,22
wise,12
double,31
straight,34
harder,20
grey,17
ugly,10
cruel,17
silly,25
nervous,17
sweeter,16
light,33
wild,119
feeling,27
damned,9
beautiful,99
crazy,226
proud,31
ohh,36
flat,20
steady,33
confused,16
deep,168
sad,94
high,251
middle,17
single,87
good,694
close,29
ready,135
tan,19
foreign,20
everyday,59
physical,11
pink,15
funny,93
different,106
afraid,62
drunk,36
lame,18
make,48
able,14
tight,44
hot,214
strange,51
best,228
pure,30
grand,19
answer,12
higher,43
jamaican,8
sure,140
okay,46
electric,12
closest,5
separate,19
welcome,20
southern,19
vicious,9
wrong,216
mad,79
fresh,56
jealous,28
lovin,121
early,17
younger,25
short,49
natural,20
older,29
shiny,16
average,11
humble,9
flow,18
hungry,29
green,50
clean,42
tall,32
pretty,110
dark,133
left,33
