count,word
343,little
340,good
191,sweet
173,old
145,ooh
136,long
136,lonely
123,hot
120,bad
115,high
114,new
102,lovin
99,big
99,free
91,true
82,young
81,wrong
80,better
75,real
72,alive
72,best
69,sad
67,right
66,beautiful
60,blue
57,white
56,strong
54,happy
54,black
53,la-la
46,fine
44,easy
44,cold
43,bright
42,funky
41,crazy
39,deep
37,american
37,hard
36,slow
35,loving
34,higher
31,broken
31,dark
30,rockin
30,pretty
29,low
29,wild
28,like
27,warm
26,evil
26,blind
26,funny
25,ready
24,come
24,short
24,natural
24,breaking
23,sexy
23,da
23,dirty
22,rainy
22,brown
21,fat
21,simple
21,nice
20,misty
20,outside
20,chirpy
20,special
20,lotta
20,dead
20,gentle
20,ooga-chaka
20,worry
19,strange
19,red
19,single
18,love
18,miss
17,lonesome
17,burning
17,tired
17,different
17,answer
17,wonderful
17,loud
16,yellow
16,late
16,double
16,want
16,wide
16,brighter
16,sure
16,clean
16,poor
16,stronger
15,ol
15,golden
15,glad
15,everlasting
15,southern
15,beat
15,clear
15,cool
15,ole
15,silly
14,past
14,make
14,precious
14,closer
14,greatest
14,ooo
14,psychedelic
14,perfect
13,dear
13,lazy
13,fly
13,distant
13,dry
13,troubled
12,open
12,rich
12,proud
12,afraid
12,o-o-h
12,terrible
12,heavy
11,oooh
11,lovely
11,gangsta
11,frightening
11,everyday
11,sentimental
11,rubberband
11,ride
11,heavenly
11,favorite
10,quiet
10,undercover
10,foolish
10,fast
10,younger
10,hitchin
10,mighty
10,ridin
10,sunny
10,peaceful
10,tall
10,fancy
10,great
10,country
9,green
9,all-all-all
9,shoeshine
9,main
9,hungry
9,feelin
9,busy
9,one-night
8,day
8,okay
8,silent
8,second
8,a-break
8,wee
8,indian
8,light
8,small
8,flash
8,cute
8,easier
8,music
8,quack
8,lucky
8,soft
8,early
8,hooked
8,sweeter
8,fresh
7,human
7,shy
7,divine
7,electric
7,awful
7,sorry
7,feel
7,smart
7,oo
7,feeling
7,dooby
7,sweetest
6,safe
6,owww
6,friendly
6,virgin
6,splendid
6,laughin
6,fair
6,left
6,baddest
6,worried
6,living
6,summer
6,stormy
6,starry
6,nearer
6,foreign
6,working
6,meaner
6,superstitious
6,do-do-do-do
6,doggone
6,flat
6,cloudy
6,layin
5,break
5,ugly
5,willing
5,grand
5,dancin
5,native
5,tighter
5,driving
5,push
5,hurt
5,separate
5,tight
5,groovin
5,no-one
5,wise
5,finest
5,bold
5,closed
5,shiny
5,darkest
5,secret
5,exciting
5,thicker
5,passing
5,wet
5,mad
5,oho
5,mean
5,ooooh
5,vain
5,tough
5,scared
5,lead
4,familiar
4,expert
4,syncopated
4,close
4,final
4,grey
4,stop
4,insane
4,weary
4,mucho
4,deeper
4,rough
4,rapper
4,ow
4,handsome
4,sleepy
4,sudden
4,unhappy
4,handy
4,innocent
4,highest
4,complete
4,explain
4,mellow
4,false
4,mere
4,mixed
4,wayward
4,searchin
4,solid
4,private
4,cruel
4,teenage
4,older
4,ragged
4,two-way
4,meaning
3,prettiest
3,a-my
3,wait
3,touchin
3,endless
3,missing
3,faded
3,of-a
3,extra
3,weak
3,guilty
3,married
3,rolling
3,lowdown
3,ageless
3,smallest
3,nighttime
3,helpless
3,biggest
3,mohair
3,crawfish
3,rarin
3,freaky
3,ali-i-i-i-ive
3,fellow
3,key
3,flow
3,bitter
3,billion-year-old
3,useless
3,said
3,gray
3,cutest
3,mournful
3,nearest
3,star-spangled
3,ordinary
3,vocal
3,bringin
3,winter
3,tiny
3,fighting
3,frozen
3,used
3,certain
3,hottest
3,bitty
3,satisfied
3,fadin
3,nasty
3,sleeping
3,soulful
3,bashful
3,so-so
3,fairy
3,east
3,greener
3,la-la-la
3,simpler
3,imaginary
3,standing
3,bended
3,lighter
3,lawdy
3,live
3,merry
3,rare
3,impossible
3,bare
2,corner
2,unkind
2,fuzzy
2,giant
2,fastest
2,chinese
2,walking
2,local
2,blowin
2,cheap
2,lovable
2,latest
2,try
2,naked
2,colder
2,perpetual
2,people
2,steady
2,confusing
2,purple
2,ba
2,hung
2,tidal
2,tous
2,slender
2,self-made
2,youthful
2,restless
2,adolescent
2,snowy
2,stupid
2,eat
2,joint
2,one-way
2,stumbling
2,warmer
2,sleazy
2,similar
2,promised
2,physical
2,infatuated
2,sick
2,pappy
2,happier
2,clenched
2,nude
2,beggin
2,vague
2,presidential
2,common
2,magic
2,dumb
2,movin
2,supernatural
2,drivin
2,spare
2,damned
2,busted
2,forgotten
2,shoo-bop
2,drunk
2,growin
2,hollow
2,ohh
2,ev'ry
2,damn
2,inclement
2,plain
2,do-do-do-do-do
2,horny-back
2,dizzy
2,alittle
2,magical
2,two-step
2,seasonal
2,wild-eyed
2,about-ah
2,old-time
2,saddest
2,silky
2,colored
2,mi
2,gritty
2,aware
2,coloured
2,free-ee-ee
2,oo-oo-oo-oo
2,western
2,ba-dooba-do
2,loose
2,worth
2,hardest
2,nostalgic
2,sorrowful
2,pleasing
2,unreal
2,french
2,thorny
2,dim
2,thirteen-month-old
2,filled
2,chopped
2,mysterious
2,mortal
2,negative
2,quick
2,hidden
2,leave
2,clever
2,angry
2,dearest
2,tragic
2,cloud
2,lot-dah-dah-dah
2,ashamed
2,total
2,moral
2,fill-in
2,calm
2,jolly
2,snow-white
2,confused
2,screamin
2,clearer
2,able
2,honest
2,pink
2,bittersweet
2,social
2,windy
2,genuine
2,sharp
2,mind
2,fading
2,fuente
2,insatiable
2,moonlit
2,timeless
2,richest
1,8-ball
1,sharper
1,matching
1,starry-eyed
1,amber
1,calloused
1,canadian
1,adorable
1,daytime
1,dusty
1,blurry
1,untamed
1,sixth
1,nameless
1,cautious
1,boogie-woogie
1,elderly
1,bloody
1,pillow
1,super
1,sadder
1,hablar
1,insufficient
1,later
1,rican
1,sizzling
1,nitty
1,sister
1,study
1,all-night
1,uptight
1,swiss
1,unrehearsed
1,buzzin
1,dare
1,believed
1,long-haired
1,teen-age
1,orthopedic
1,hopin
1,love\n
1,next-door
1,oo-ooh
1,presentable
1,cherry
1,weaker
1,denim
1,slow-moving
1,ohhh
1,hey-ey
1,tan
1,brand-new
1,senseless
1,headed
1,agile
1,hog
1,pompatous
1,mod
1,helpful
1,stranger
1,wasting
1,savage
1,stuffy
1,twirled
1,ablaze
1,midnight`s
1,stand-up
1,whirling
1,charming
1,litter
1,captive
1,sore
1,nappy
1,far-out
1,appointed
1,best-made
1,oriol
1,sanctified
1,italian
1,big-bosomed
1,passionate
1,\n
1,loser
1,hush
1,healing
1,hawler
1,flashin
1,a-changin
1,faint-hearted
1,wonderin
1,reckless
1,gambling
1,braided
1,reachin
1,sandy
1,interested
1,carefree
1,ritzy
1,backstroke
1,eerie
1,worst
1,street}}\n
1,complanin
1,tasty
1,proper
1,washing
1,dark-haired
1,moved
1,stiff
1,wooden
1,do-or-die
1,constant
1,smile
1,favourite
1,teary-eyed
1,balmy
1,tanned
1,platter
1,suburban
1,haired
1,teachin
1,foul
1,you\n
1,underfed
1,watchful
1,stale
1,softer
1,messy
1,welcome
1,tricky
1,legal
1,oldest
1,funkin
1,important
1,21st
1,smoke-filled
1,blaze
1,masculine
1,custom-made
1,polite
1,gather
1,average
1,pick-up
1,aflame
1,daily
1,cozy
1,a-gettin
1,blue-eyed
1,rhythmic
1,fish
1,flamin
1,snowbird
1,met
1,inner
1,down-hearted
1,lost
1,lousy
1,noticed
1,roomy
1,corncob
1,mud-brown
1,hoarse
1,change
1,refined
1,homeless
1,climbin
1,macrobiotic
1,long\n
1,wastin
1,jewish
1,bus
1,wind-swept
1,built-in
1,wicked
1,tearful
1,chuga-chuga
1,run-around
1,jamaican
1,unaware
1,fight
1,strongest
1,smooth
1,sturdy
1,sacrificial
1,ooohooo
1,feminine
1,romantic
1,self-contained
1,shinin
1,bake
1,casual
1,fistful
1,unavailable
1,4-barrel
1,brief
1,skip
1,illuminating
1,overfed
1,warmest
1,meanest
1,smaller
1,kung
1,breathin
1,pure
1,button-pushing
1,my-my
1,wonder
1,dumbstruck
1,incurable
1,bluish
1,sacred
1,embarrassed
1,all-american
