count,word
125,little
119,good
91,old
74,sweet
72,long
67,true
61,new
57,lonely
54,ooh
52,bad
52,high
46,big
44,real
44,better
44,lovin
41,free
41,young
36,strong
36,best
36,right
34,wrong
31,happy
30,blue
29,crazy
28,hard
28,cold
27,sad
26,alive
26,loving
25,black
24,easy
23,deep
22,hot
21,dark
21,bright
20,pretty
20,warm
19,low
19,wild
18,beautiful
17,fine
16,sure
16,blind
16,dead
15,different
15,white
14,simple
14,like
14,broken
14,nice
14,funny
14,red
13,higher
13,funky
13,clear
13,strange
12,loud
12,ready
12,glad
12,single
12,dirty
12,late
12,precious
11,closer
11,short
11,outside
11,gentle
11,cool
10,wide
10,great
10,poor
10,special
10,past
9,rockin
9,slow
9,tired
9,brown
9,fancy
9,misty
9,proud
8,hungry
8,golden
8,natural
8,yellow
8,soft
8,oooh
8,tall
8,dear
8,quiet
8,cute
8,make
8,small
8,younger
8,afraid
8,beat
7,foolish
7,fast
7,open
7,sunny
7,favorite
7,green
7,rainy
7,indian
7,sorry
7,silent
6,safe
6,silly
6,lovely
6,lucky
6,lonesome
6,feeling
6,everyday
6,second
6,perfect
6,rich
6,feelin
6,answer
6,brighter
6,dry
6,busy
5,okay
5,wet
5,hurt
5,peaceful
5,southern
5,finest
5,fresh
5,darkest
5,clean
5,divine
5,wonderful
5,shy
5,light
5,virgin
5,terrible
5,left
5,smart
5,frightening
5,passing
5,vain
5,love
5,stormy
5,early
5,heavy
5,distant
5,la-la
5,come
5,tough
4,rough
4,sweeter
4,friendly
4,mad
4,deeper
4,cruel
4,mean
4,electric
4,separate
4,tight
4,complete
4,secret
4,willing
4,stronger
4,solid
4,handsome
4,human
4,miss
4,sexy
4,one-night
4,scared
4,grey
4,ooo
4,main
4,awful
4,evil
4,sweetest
4,fair
4,unhappy
4,shiny
4,older
4,ooooh
4,lazy
3,ow
3,live
3,flow
3,ragged
3,break
3,double
3,layin
3,doggone
3,want
3,greener
3,gray
3,used
3,final
3,key
3,easier
3,laughin
3,mere
3,wise
3,working
3,bitty
3,bare
3,ol
3,groovin
3,music
3,flat
3,frozen
3,helpless
3,worried
3,east
3,private
3,fat
3,cloudy
3,mellow
3,weak
3,troubled
3,familiar
3,exciting
3,useless
3,touchin
3,nighttime
3,teenage
3,rare
3,faded
3,guilty
3,lotta
3,american
3,close
3,endless
3,heavenly
3,insane
3,living
3,sentimental
3,stop
3,searchin
3,nasty
3,hooked
3,fairy
3,sudden
3,freaky
3,ridin
3,certain
3,undercover
3,greatest
2,unreal
2,tiny
2,nostalgic
2,moonlit
2,hidden
2,superstitious
2,one-way
2,handy
2,hollow
2,country
2,gritty
2,prettiest
2,eat
2,colored
2,burning
2,clearer
2,meaning
2,screamin
2,clenched
2,bittersweet
2,ordinary
2,windy
2,confused
2,sick
2,promised
2,slender
2,stumbling
2,vocal
2,soulful
2,fighting
2,ev'ry
2,hardest
2,two-step
2,giant
2,walking
2,ashamed
2,chinese
2,nearest
2,innocent
2,fading
2,calm
2,french
2,cloud
2,richest
2,cutest
2,negative
2,plain
2,angry
2,western
2,filled
2,ageless
2,fuzzy
2,lead
2,nude
2,thorny
2,worth
2,ugly
