1970,1980,1990,2000,2010,word
1,1,1,1,0,shop
0,0,0,0,0,impression
0,0,0,0,0,bait
1,1,1,1,1,summer
0,1,1,1,0,flicker
0,0,0,1,0,urine
1,1,1,1,0,aroma
0,0,0,0,0,fink
0,0,0,1,0,sleep
0,0,0,0,0,fillet
0,1,1,1,0,battle
0,0,0,0,0,defender
0,0,1,0,0,hate
0,0,0,1,1,wage
1,0,0,0,0,buddy
0,0,0,0,0,vicinity
0,0,0,0,0,pile
0,0,0,1,0,fad
0,0,1,1,0,daze
0,0,1,1,1,smile
0,0,1,0,0,criminal
6,3,15,10,6,dad
0,0,1,0,0,material
1,0,0,0,0,kind
0,0,0,0,0,clang
0,0,0,1,0,strut
1,1,0,0,0,dark
0,0,0,0,0,lunch
0,0,3,3,1,buttocks
0,0,1,1,1,breast
1,0,1,0,0,fall
3,3,10,10,3,ma
0,0,1,0,0,bit
0,0,0,0,0,jesus
0,0,0,0,0,twilight
0,0,3,3,3,asshole
0,1,0,0,0,rumor
0,0,1,0,0,knock
0,0,0,0,0,bulge
0,1,1,0,0,die
0,0,0,1,0,cry
0,0,1,1,0,morning
0,0,1,0,0,nigger
1,1,1,1,0,rock
0,0,0,1,0,guy
0,0,0,0,0,athlete
0,1,0,0,1,ailment
1,0,0,0,0,cheep
0,0,1,0,0,spring
0,0,0,0,0,liquor
1,0,1,1,1,idea
0,0,0,0,0,crop
1,0,0,0,0,past
0,0,0,1,0,touch
0,0,1,0,0,second
0,0,1,0,0,ball
0,0,0,1,0,measure
0,0,0,0,0,pornography
1,0,0,1,1,girl
0,0,0,0,1,grandfather
0,0,0,1,0,subject
0,0,1,0,1,semen
0,0,0,0,0,palette
0,0,0,1,0,curse
1,1,1,0,0,destiny
0,0,0,0,1,cast
0,0,1,1,0,movie
1,0,0,0,0,boogie
1,0,0,0,0,lurch
0,0,1,1,0,rotter
0,1,1,1,1,religion
1,1,1,1,0,state
0,0,0,0,1,internet
0,0,1,0,0,drunkard
0,0,0,1,0,pun
0,0,0,0,0,eating
0,1,1,1,0,degree
0,0,0,0,0,component
0,0,1,1,0,rug
1,0,0,0,0,base
0,0,0,0,0,grandma
0,0,0,0,0,filth
0,0,1,1,0,barroom
0,0,1,0,0,sister
0,0,0,0,0,amour_propre
0,0,1,0,0,ace
0,0,0,0,0,package
0,1,0,0,0,career
0,0,0,0,0,shingle
0,1,0,0,0,magazine
1,1,3,1,1,person
0,0,0,0,0,nothing
0,0,1,0,0,smoke
0,0,1,1,0,consequence
0,0,0,0,0,ice_lolly
0,0,1,3,0,drip
0,0,1,0,0,expression
0,0,1,0,0,macintosh
0,0,0,0,0,whitey
0,0,0,1,0,dunce
0,0,0,1,0,family
1,1,1,1,1,walk
0,0,1,1,0,cocoa
0,1,0,0,0,prisoner
0,0,1,0,0,seashore
1,0,0,0,0,laugh
0,0,3,3,1,hood
1,0,1,1,0,crap
0,0,0,0,0,fabric
0,0,1,1,0,vacation
1,0,0,0,0,sunlight
0,1,0,0,0,mark
1,1,1,0,1,tune
0,0,0,0,0,yak
0,0,0,0,0,injury
0,0,1,0,0,limousine
0,0,0,0,0,sweetheart
0,0,0,1,0,intestine
0,0,0,0,0,sofa
0,1,1,0,0,enchantment
0,0,0,0,0,thousand
0,0,1,0,0,grief
0,0,0,0,0,adult
1,1,1,1,1,child
1,1,1,1,1,baby
1,1,0,1,0,attempt
0,0,1,0,0,spirit
0,0,0,1,1,center
0,0,0,0,0,hush
0,0,0,1,0,photograph
0,0,1,0,0,scheme
0,0,0,0,0,bartender
0,0,0,0,0,ballyhoo
1,1,1,1,1,eden
0,0,0,0,0,sphere
1,0,0,0,0,car
0,0,0,1,0,inside
1,1,1,1,0,matter
0,0,0,1,0,calamity
0,0,0,0,0,marriage
0,1,1,0,0,universe
0,0,1,1,0,loot
1,0,1,1,0,mistake
0,0,0,1,0,lookout
0,0,0,0,0,motivation
1,0,1,0,0,freak
0,0,0,0,0,bent
1,0,1,1,0,telephone
0,0,1,1,0,fellow
0,0,0,0,0,ecstasy
3,0,1,3,0,chap
0,0,0,0,0,kingdom
3,6,3,6,3,manner
1,0,0,0,0,violin
0,0,0,0,1,airplane
0,0,0,0,1,shooting
0,0,0,0,1,pit
1,0,0,1,1,dawn
0,0,0,0,0,guarantee
0,0,0,0,0,information
0,0,1,0,0,microphone
0,0,0,0,0,wanderer
1,0,0,0,0,doctor
0,0,0,0,0,anguish
0,0,1,1,0,purpose
0,0,1,0,0,reverie
0,0,0,0,1,check
0,0,1,1,0,speaker
3,3,0,0,1,boom
0,3,0,3,1,animal
0,0,1,0,0,miniskirt
0,0,1,0,0,answer
1,1,1,1,1,topographic_point
0,0,1,0,0,concern
0,0,0,0,0,eternity
0,0,0,1,0,hallway
0,0,1,1,1,play
0,0,1,0,1,adieu
1,0,1,0,0,thunderbolt
0,0,1,1,0,hazard
0,0,0,0,0,millimeter
0,1,0,0,0,suburb
1,0,0,0,0,plan
0,1,1,1,0,phase
0,0,0,1,0,basement
0,0,0,1,1,choice
1,1,1,1,0,opportunity
0,0,1,1,1,clasp
1,1,0,0,0,longing
0,0,1,0,0,chump
0,0,0,1,0,waist
0,0,1,0,0,bullet
0,0,0,0,0,hideout
1,0,0,0,0,moonlight
0,0,0,0,1,baggage
0,0,1,0,0,sunset
1,1,1,1,1,narrative
0,1,1,0,1,position
0,0,0,0,0,menace
0,0,1,0,0,scream
0,0,0,0,0,bandanna
