1970,1980,1990,2000,2010,word
0,0,1,0,0,jockin
0,0,0,1,0,inning
0,0,1,0,0,girl(oh
1,1,1,2,1,yellow
1,0,0,0,0,sleet
0,0,0,2,2,catch
0,0,0,1,0,nursery
3,2,0,4,1,sleep
0,0,0,1,0,sasoon
0,1,0,0,0,scheming
0,0,1,0,0,woody
1,0,1,1,3,appetite
0,0,0,1,1,captain
1,0,0,0,0,integrity
1,0,0,0,0,briskness
0,0,1,0,0,gra
0,0,0,1,1,muzzle
0,0,0,1,2,swag
0,1,0,0,0,feeding
2,0,0,1,1,buddy
0,0,1,0,0,cabriolet
0,0,0,3,0,spec
1,0,0,0,0,sunlit
0,0,1,0,0,originality
0,1,2,1,0,bike
0,0,0,0,1,thump
0,0,1,1,1,daze
0,0,2,0,0,lore
3,0,1,1,0,lord
1,1,1,1,1,sorry
7,7,5,4,2,pride
0,1,0,0,0,sway
0,0,0,1,0,whack
0,0,0,0,1,playground
0,0,2,2,0,digit
0,0,1,0,0,ale
1,4,6,5,3,point
1,2,4,0,0,rescue
1,0,0,0,0,physician
0,0,0,1,0,leopard-print
0,0,0,3,0,blanket
1,1,3,1,1,rise
1,0,0,0,0,stabber
40,14,25,43,7,woman
0,0,0,0,1,pigment
0,0,0,3,0,smack
0,0,0,1,0,crackin
0,0,2,0,1,jack
0,0,0,1,0,hotline
0,1,0,1,1,fur
0,0,1,0,0,invention
0,1,0,0,0,fireplace
0,1,0,0,0,vois
0,0,0,2,0,missionary
4,11,9,16,3,look
0,1,0,0,0,identity
1,0,1,1,0,poppa
9,5,15,25,7,school
1,0,0,0,0,chick-a-boom-boom-boom
2,0,1,1,1,prize
0,0,1,0,0,parrot
0,0,0,1,0,obstruction
0,0,0,0,1,contigo
2,1,0,1,1,loneliness
0,0,0,0,1,servin
0,1,0,0,0,venue
2,0,2,2,1,solution
0,0,2,0,0,nigger
0,1,0,2,0,disc
0,0,1,0,0,crotch
2,2,0,1,2,oooh
0,0,1,0,0,mothafuck
1,0,0,1,0,artist
0,0,1,0,0,ha-ha
0,0,0,0,1,whirlwind
0,0,0,1,0,t-t-tasty
0,0,0,3,0,creepin
0,0,0,1,0,babygirl
2,2,2,4,0,force
0,0,0,0,1,speck
0,0,1,0,0,quilt
2,3,0,0,0,eagle
0,0,1,0,0,welfare
0,0,2,0,0,midsummer
0,0,0,1,2,shut
0,0,1,0,1,budget
3,0,1,0,1,preacher
0,0,0,1,0,hata
0,0,1,0,0,everbody
0,1,3,0,0,louder
1,3,8,8,1,doubt
0,0,0,1,0,strippin
0,0,1,0,0,yack
2,1,0,0,1,writing
0,1,0,0,0,cunnin
1,0,0,2,0,emptiness
2,0,1,1,1,fixin
0,0,0,0,2,theory
16,7,8,7,3,blue
0,0,1,5,0,aim
0,0,0,1,0,gooder
0,1,2,1,0,wreck
1,0,0,0,0,woman-child
5,0,3,0,0,boogie
0,0,0,1,0,revolver
0,1,1,1,1,poison
1,0,1,0,0,cooking
2,1,2,4,4,mom
0,0,0,0,1,ringin
1,0,1,2,1,haze
0,0,0,1,0,minty
0,0,1,0,0,toll
0,0,0,1,0,fetish
1,0,0,0,1,net
0,0,1,1,0,groupie
43,22,21,32,21,song
0,0,0,1,0,corrosion
0,1,0,0,0,crunch
0,0,0,3,0,mamas
0,0,0,1,2,million
0,2,2,1,0,hero
0,0,0,2,0,menage
0,0,1,0,0,herb
0,0,1,0,0,spunky
0,0,2,0,0,men
0,0,1,0,0,wrapping
0,0,0,1,0,meh
0,0,0,1,0,mek
1,0,1,3,0,protection
0,0,1,0,0,tornado
0,0,2,3,1,smokin
1,0,0,0,0,wimoweh
0,0,0,1,0,dorm
0,1,1,0,3,path
1,0,1,0,0,cardboard
0,0,1,0,0,shriek
6,3,3,15,5,half
1,0,0,0,0,gong
0,0,0,1,0,porche
0,1,0,0,0,hairdo
5,12,12,10,2,voice
1,1,0,4,1,daughter
0,0,0,0,1,seven-foot
0,1,0,0,0,t'aime
0,0,1,0,0,study
2,0,0,1,0,ty
0,0,0,1,0,ball-er
0,0,0,1,0,jamz
1,0,0,2,0,robin
0,1,2,1,1,credit
0,0,1,0,0,trizzack
1,0,0,0,0,moonstone
0,0,0,0,1,mentor
1,0,5,3,1,smoke
0,0,1,1,0,stressed
0,0,0,1,0,negros
0,1,1,1,0,pullin
3,8,2,9,1,mistake
1,0,0,0,0,climber
0,0,0,1,0,stravaganza
0,0,0,1,0,swearing
0,1,3,1,1,tu
0,0,0,1,0,blockas
0,0,0,1,0,divide
1,1,1,0,0,stray
0,1,1,0,0,straw
2,0,0,0,0,da-da
0,0,0,1,0,brr
0,0,0,1,0,strap
0,0,2,4,1,bro
1,2,1,1,0,patience
0,0,0,1,0,remnant
0,0,0,1,0,cane
0,0,0,0,1,athlete
0,2,1,3,0,glance
1,0,0,1,1,cocaine
0,0,3,3,1,bra
0,0,1,0,0,tickle
0,0,2,0,0,charge
0,0,0,3,0,spoke
1,0,0,0,0,truckin
0,0,1,2,0,army
1,0,0,1,0,alligator
0,1,0,1,0,sweater
0,0,0,1,0,wordplay
2,0,0,2,0,princess
1,0,3,0,0,sympathy
2,0,0,0,0,bayou
1,0,1,0,0,symphony
23,14,7,15,9,music
1,0,0,0,0,teddybear
0,0,1,0,1,passport
0,0,0,1,1,strike
0,0,1,0,0,survive
6,5,23,25,4,tryin
2,1,2,1,0,limousine
0,0,0,1,0,tell
1,0,0,0,0,calf
0,0,1,0,0,permission
0,0,0,1,0,playboy
1,0,0,0,0,kiddin
0,1,1,2,0,relax
0,0,0,1,0,hurr
0,0,0,1,0,dressing
0,0,0,1,0,pic
0,0,1,0,0,phony
0,0,0,1,1,award
0,0,1,0,0,hurt
0,0,2,0,0,grief
0,0,0,2,0,postmortem
0,0,0,0,1,torture
0,0,0,3,1,pecan
0,1,0,0,0,adult
