1970,1980,1990,2000,2010,word
0,0,0,1,0,inning
1,1,1,1,1,yellow
0,0,1,0,0,hitch
1,0,0,0,0,sleet
0,0,0,1,0,obstruction
0,0,0,1,0,nursery
1,1,1,3,1,sleep
1,0,0,1,0,railing
1,0,1,1,1,appetite
0,0,0,1,1,captain
0,0,2,1,1,hate
0,0,0,1,1,swag
0,0,0,1,0,chicken_coop
2,0,0,1,1,buddy
0,0,1,0,0,originality
1,1,2,2,1,daze
0,0,1,0,0,lore
0,0,0,1,0,teaching
1,1,1,1,1,pride
0,1,0,0,0,sway
0,0,0,1,0,whack
0,0,1,1,0,digit
0,0,1,0,0,ale
1,1,1,0,0,rescue
0,0,0,1,0,barium
0,0,0,1,0,blanket
0,0,1,1,0,dutch
1,0,0,0,0,stabber
0,0,0,0,1,pigment
0,0,1,0,1,oilskin
0,0,1,0,1,jack
1,1,1,1,1,kick
0,1,0,1,1,fur
0,1,0,0,0,fireplace
0,0,0,1,0,missionary
1,1,1,1,1,school
1,0,1,1,1,prize
0,0,1,0,0,parrot
0,0,0,1,0,ovation
1,1,0,1,1,loneliness
0,1,0,0,0,venue
1,0,1,1,1,solution
0,0,2,1,1,nigger
0,0,1,0,0,cringle
0,0,0,0,1,whirlwind
0,0,0,1,0,bicycle
0,0,0,0,1,speck
0,0,1,0,0,quilt
0,1,0,1,0,spinal_column
0,1,0,0,0,jugular_vein
0,0,0,1,0,almond
1,1,1,0,0,pulse
1,0,1,0,0,horn
1,0,1,0,1,preacher
0,1,2,1,0,second
1,1,1,1,1,street
0,1,1,0,0,umbrella
1,0,0,1,0,emptiness
0,0,1,0,0,shining
1,1,1,1,1,blue
1,0,1,1,1,hide
0,1,1,1,0,wreck
1,0,0,0,0,integrity
0,0,0,1,0,specification
2,0,1,0,0,boogie
0,0,0,1,0,revolver
0,1,1,1,1,poison
1,0,1,1,1,haze
0,0,0,1,0,beater
0,0,0,1,0,fetish
0,0,0,1,0,maverick
0,1,0,0,0,crunch
0,1,1,1,0,hero
0,0,1,0,0,herb
0,0,1,0,0,wrapping
1,0,1,1,0,protection
0,0,0,1,1,studio
0,1,1,1,1,pursuit
1,1,2,2,1,path
1,0,1,0,0,cardboard
1,0,1,0,0,chink
1,0,0,0,1,celebration
0,1,0,0,0,hairdo
1,1,1,1,1,voice
1,1,0,1,1,daughter
0,0,0,1,0,controversy
1,0,0,0,0,moonstone
0,0,0,0,1,mentor
1,1,2,2,2,smoke
0,0,0,1,0,military
1,0,0,0,0,climber
1,0,0,0,0,diplomat
0,0,0,1,0,divide
1,1,1,0,0,stray
0,1,1,0,0,straw
1,0,0,0,0,windowpane
1,1,0,1,0,grandma
0,0,0,1,0,strap
0,1,0,1,0,county
1,1,1,1,0,patience
0,1,1,1,0,glance
1,0,0,1,1,cocaine
0,0,1,1,0,plot
0,1,1,1,0,base_on_balls
0,1,1,1,1,flop
0,0,0,1,0,spoke
0,0,1,1,0,army
1,0,0,2,1,alligator
0,0,0,1,0,hospital
0,1,1,0,1,century
0,0,0,1,0,craving
1,0,1,0,1,gun_trigger
1,0,0,0,0,bayou
0,1,0,0,1,go-getter
1,1,1,1,1,music
