count,word,rcount
2390,love,788
1665,baby,731
1583,girl,629
1544,time,567
1097,thing,533
1003,night,483
918,man,456
881,way,449
830,day,396
802,heart,378
778,boy,373
759,life,291
595,ya,285
529,eye,283
497,world,270
465,dream,253
442,cause,239
404,bit,196
338,tonight,175
329,woman,171
326,friend,156
308,bitch,154
299,song,154
292,hand,152
288,shit,148
282,place,145
280,body,143
276,light,139
264,mind,136
251,home,134
247,nigga,130
246,lady,129
240,person,128
238,rock,127
231,word,124
226,everybody,123
216,dance,120
215,sky,116
205,wit,115
194,money,112
189,ass,112
181,game,110
180,kiss,107
176,ride,104
176,music,103
172,soul,100
171,line,97
168,kind,96
166,right,93
163,round,91
162,head,90
162,car,89
159,arm,87
159,bout,86
156,lover,86
151,feeling,85
149,chick,84
147,face,82
146,brand,82
146,door,80
145,ooh,79
143,touch,76
142,town,74
141,child,73
141,floor,73
139,diamond,73
135,club,72
135,year,72
133,roll,71
132,let,70
131,foot,70
126,summer,68
125,doo,68
125,fine,67
122,road,66
122,star,65
120,mama,65
119,nothin,64
119,hair,64
117,somebody,63
115,sun,62
115,ron,62
113,inside,61
109,stuff,61
109,street,61
109,kid,61
109,rain,60
108,livin,59
104,guy,59
103,lot,59
101,school,59
101,end,58
100,room,57
100,city,57
99,drop,57
98,niggas,55
98,chance,54
96,party,54
94,hitta,54
93,dick,53
93,step,53
92,somethin,52
92,smile,52
88,pain,52
87,make,50
86,wine,50
86,feelin,49
85,babe,49
83,sound,49
83,talk,49
83,heaven,48
83,beat,48
82,fun,47
82,morning,47
81,tryin,47
81,wind,47
81,motion,47
80,water,47
79,house,47
77,dancing,46
77,da,46
76,memory,46
76,tear,44
76,jean,44
75,moment,44
75,goodbye,44
75,pop,44
74,air,44
74,fool,43
74,reason,43
74,type,43
73,bass,43
72,change,42
71,booty,42
70,shot,42
70,sex,42
69,start,41
69,piece,41
69,blue,41
69,gold,41
69,thought,41
68,today,41
68,hell,41
68,taste,41
67,brother,41
67,romance,40
66,daddy,40
66,darling,40
64,look,39
64,bird,39
64,lip,39
63,moon,39
63,track,38
63,tree,37
62,honey,37
62,style,37
61,bar,37
60,work,36
60,pant,36
60,problem,36
59,ground,36
59,ho,36
59,sea,36
59,voice,35
58,control,35
58,red,35
58,phone,35
58,clothe,34
58,skin,34
57,picture,34
57,bed,34
56,sight,34
55,shoe,34
55,hood,34
55,break,33
55,gun,33
54,cat,33
54,chain,33
54,fight,33
53,hip,33
53,ice,33
53,emotion,33
53,fear,32
52,drink,32
52,spot,32
52,need,32
52,share,32
52,story,32
52,tomorrow,31
51,river,31
51,wake,31
51,solo,31
50,bop,31
50,brain,30
50,band,30
49,wall,30
48,son,30
48,truth,30
48,fantasy,30
48,yea,30
47,bottle,30
47,glass,29
47,bump,29
47,knee,29
47,angel,29
47,dancer,29
47,finger,29
46,dollar,28
46,dog,28
46,rest,28
45,promise,28
45,blood,28
45,train,28
45,mouth,28
44,sir,28
44,bang,28
44,power,27
44,wheel,27
44,color,27
44,land,27
44,hoe,27
44,case,27
44,pussy,27
43,thang,27
43,sensation,27
43,breath,26
43,fall,26
43,luck,26
43,cold,26
43,secret,26
43,feel,26
42,minute,26
42,half,26
42,watch,26
42,damn,25
42,boot,25
41,ring,25
41,mountain,25
41,hour,25
41,sign,25
41,wish,25
40,groove,25
40,high,25
39,fact,25
39,ear,25
39,blow,25
39,rule,25
39,sayin,25
39,mo,24
39,play,24
39,dude,24
39,cup,24
39,rhythm,24
39,la,24
39,dress,24
38,seat,24
38,rap,24
38,vision,24
38,passion,24
38,plan,23
38,hit,23
38,grass,23
38,wife,23
38,sugar,23
38,question,23
38,wing,23
38,ball,23
37,shorty,23
36,drive,23
36,come,23
36,shoulder,23
36,hush,23
36,window,22
36,view,22
36,coast,22
35,igh,22
35,sure,22
35,frame,22
35,poo,22
35,key,22
35,freak,22
34,dip,22
34,tv,22
34,bag,22
34,youre,22
34,toe,22
34,momma,22
34,hope,21
33,relationship,21
33,flame,21
33,weed,21
33,heat,21
33,hoo,21
33,gon,21
33,flow,21
32,age,21
32,radio,21
32,block,21
32,motherfucker,21
32,record,21
32,heel,21
32,mess,21
32,wave,20
32,king,20
31,pride,20
31,slow,20
31,matter,20
31,snow,20
31,horse,20
31,cop,20
31,jet,20
31,shine,20
31,dem,20
31,middle,20
31,situation,20
30,awake,19
30,flower,19
30,team,19
30,ocean,19
30,number,19
30,pon,19
30,lock,19
30,rollin,19
30,storm,19
30,tale,19
30,mood,19
29,fan,19
29,couple,19
29,poppin,19
29,worry,19
29,suit,19
29,position,19
29,niggaz,19
29,war,18
29,folk,18
29,stranger,18
29,sense,18
28,beer,18
28,job,18
28,fix,18
28,cool,18
28,lane,18
28,drug,18
28,doubt,18
28,corner,18
27,mistake,18
27,es,18
27,tellin,18
27,verse,18
27,mother,18
27,sunshine,18
27,player,18
27,trip,18
27,funk,18
27,knife,18
27,family,18
27,tu,17
27,peace,17
27,shawty,17
27,law,17
26,class,17
26,whisper,17
26,pair,17
26,dime,17
26,pimpin,17
26,race,17
26,medicine,17
26,weather,17
26,moonlight,16
26,note,16
26,gimme,16
25,leaf,16
25,country,16
25,direction,16
25,west,16
25,ohh,16
25,surprise,16
25,god,16
25,owner,16
25,girlfriend,16
25,deal,16
25,queen,16
25,scene,16
25,father,16
25,stay,16
25,highway,16
25,candy,16
25,prayer,16
25,leg,16
24,sweat,16
24,mile,15
24,walk,15
24,vibration,15
24,field,15
24,pa,15
24,kick,15
24,care,15
24,run,15
24,pimp,15
24,gal,15
24,sister,15
24,cheep,15
24,rush,15
24,bow,15
24,bone,15
24,faith,15
24,flava,15
24,answer,15
23,cloud,15
23,letter,15
23,conversation,15
23,lie,15
23,nightmare,15
23,try,15
23,cuerpo,15
23,thug,15
23,desire,15
23,rose,15
23,point,15
23,wonder,15
23,check,15
23,movie,15
23,stack,14
23,shack,14
23,darkness,14
23,set,14
23,loca,14
23,breeze,14
22,butt,14
22,darle,14
22,shade,14
22,truck,14
22,bust,14
22,alegrium,14
22,buena,14
22,turn,14
22,dope,14
22,bee,14
22,outside,14
22,stop,14
21,standing,14
21,guitar,14
21,dancin,14
21,park,14
21,cock,13
21,jam,13
21,afternoon,13
21,midnight,13
21,winter,13
21,joy,13
21,burning,13
21,escape,13
21,dawn,13
21,darlin,13
21,stand,13
21,self,13
21,anybody,13
21,ballin,13
21,sittin,13
20,page,13
20,crack,13
20,hard,13
20,future,13
20,crowd,13
20,baller,13
20,hunk,13
20,sin,13
20,week,13
20,crew,13
20,stage,13
20,homie,12
20,meaning,12
20,freedom,12
20,jelly,12
20,close,12
20,pocket,12
20,dreamin,12
20,do-do-do,12
20,tight,12
20,pleasure,12
20,loser,12
20,showin,12
20,ooga-ooga,12
20,business,12
20,flash,12
20,south,12
20,laugh,12
20,oh,12
19,wire,12
19,dirt,12
19,left,12
19,ribbon,12
19,jungle,12
19,neck,12
19,beach,12
19,yesterday,12
19,shinin,12
19,tender,12
19,crib,12
19,chola,12
19,stoppin,12
19,tongue,12
19,oak,12
19,slide,12
19,advice,12
19,scream,12
19,boogie,12
19,tune,11
19,pie,11
19,operator,11
19,sand,11
19,lump,11
19,daughter,11
19,fever,11
18,gangster,11
18,vibe,11
18,skirt,11
18,fate,11
18,stayin,11
18,tootsie,11
18,wait,11
18,whip,11
18,book,11
18,flossy,11
18,complex,11
18,yes,11
18,death,11
18,beauty,11
18,screen,11
18,rollercoaster,11
18,stone,11
18,silver,11
18,butterfly,11
18,gangsta,11
18,help,11
18,hop,11
18,roof,11
18,rhyme,11
18,tide,11
18,fame,11
18,hat,11
18,shame,11
18,store,11
18,jaw,11
17,act,11
17,boat,11
17,slam,11
17,pig,10
17,attention,10
17,hill,10
17,trust,10
17,cheese,10
17,poppa,10
17,sheet,10
17,nose,10
17,sun-shining,10
17,karma,10
17,hotel,10
17,holla,10
17,ad,10
17,spirit,10
17,evenin,10
17,pressure,10
17,lean,10
17,cut,10
17,thigh,10
16,magic,10
16,wood,10
16,bit-a,10
16,crime,10
16,diss,10
16,smoke,10
16,whiskey,10
16,wrist,10
16,harmony,10
16,homy,10
16,month,10
16,oh-oh,10
16,playah,10
16,beating,10
16,nuttin,10
